,Open,High,Close
227,117.95,119.43,118.99
228,116.78,118.16,117.91
229,115.92,116.86,116.61
230,115.85,116.51,116.02
231,115.8,116.33,116.15
232,116.65,117.2,115.82
233,116.45,117.11,116.73
234,117.52,118.02,116.76
235,116.52,117.8,117.26
236,115.59,116.52,116.52
237,116.35,116.51,116.29
238,116.8,117.4,117.06
239,116.74,117.5,116.95
240,115.8,117.38,116.64
241,116.47,116.5,115.97
242,115.38,116.73,115.82
243,115.04,116.2,115.19
244,113.84,115.92,115.19
245,113.29,115.0,113.3
246,112.31,114.7,113.95
247,110.86,112.43,112.12
248,109.26,111.19,111.03
249,109.5,110.36,109.95
250,110.0,110.03,109.11
251,109.17,110.09,109.9
252,110.36,110.94,109.49
253,111.6,112.2,110.52
254,110.78,112.03,111.46
255,111.43,112.46,111.57
256,111.47,111.87,111.79
257,111.36,111.51,111.23
258,111.95,112.42,111.8
259,110.12,111.99,111.73
260,109.72,110.54,110.06
261,109.81,110.35,109.95
262,106.7,110.23,109.99
263,106.57,107.68,107.11
264,107.71,107.81,105.71
265,107.12,108.87,108.43
266,111.09,111.09,107.79
267,109.88,111.32,110.88
268,110.31,111.72,111.06
269,110.08,110.51,110.41
270,108.53,110.25,108.84
271,110.98,111.46,109.83
272,111.4,112.35,111.59
273,113.46,113.77,111.49
274,113.65,114.23,113.54
275,113.87,115.21,113.72
276,115.39,115.86,114.48
277,114.31,115.7,115.59
278,117.95,118.36,118.25
279,117.1,117.74,117.65
280,116.81,116.91,116.6
281,116.86,117.38,117.06
282,117.25,117.76,117.12
283,118.18,118.21,117.47
284,117.33,117.84,117.55
285,117.88,118.17,117.63
286,116.79,117.44,116.98
287,117.35,117.98,117.34
288,117.7,118.69,116.3
289,115.02,116.75,116.05
290,114.31,114.56,114.06
291,113.7,114.34,113.89
292,113.4,113.66,113.05
293,113.06,114.31,113.0
294,112.71,113.05,112.52
295,112.46,113.37,113.05
296,113.16,113.8,112.18
297,113.69,114.64,113.95
298,113.0,113.18,113.09
299,111.64,113.39,112.88
300,114.42,114.79,112.71
301,114.35,114.94,114.62
302,113.85,113.99,113.55
303,113.05,114.12,113.57
304,115.19,116.18,113.58
305,115.12,116.13,114.92
306,113.86,115.73,115.57
307,108.73,113.03,111.77
308,107.51,108.79,107.95
309,102.65,105.72,105.44
310,104.64,105.72,103.13
311,107.25,107.27,105.52
312,107.83,108.76,108.36
313,107.9,108.3,107.7
314,107.7,108.0,107.73
315,106.14,106.8,106.73
316,105.66,106.57,106.1
317,105.8,106.5,106.0
318,106.62,107.44,106.82
319,107.41,107.95,106.94
320,107.39,107.88,107.57
321,108.56,108.75,108.03
322,108.59,109.32,108.85
323,108.86,109.1,108.51
324,108.77,109.69,109.36
325,109.23,109.6,109.08
326,109.1,109.37,109.22
327,109.63,110.23,109.38
328,108.14,109.54,109.48
329,107.78,108.44,108.18
330,108.52,108.93,107.93
331,108.71,108.9,108.0
332,108.23,108.94,108.81
333,107.52,108.37,108.37
334,106.27,107.65,107.48
335,105.58,106.0,105.87
336,104.81,105.84,105.79
337,106.05,106.07,104.48
338,104.41,106.15,106.05
339,104.19,104.55,104.21
340,102.83,104.45,104.34
341,104.26,104.35,102.95
342,96.82,97.97,96.67
343,98.25,98.84,97.34
344,99.26,99.3,98.66
345,99.83,101.0,99.43
346,100.0,100.46,99.96
347,99.56,100.0,99.87
348,98.7,100.13,99.83
349,98.92,99.3,98.78
350,97.39,98.99,98.79
351,97.41,97.67,96.87
352,97.17,97.7,97.42
353,96.75,97.65,96.98
354,96.49,96.89,96.68
355,95.7,96.5,95.94
356,94.6,95.66,95.53
357,95.39,95.4,94.99
358,95.49,96.46,95.89
359,94.44,95.77,95.6
360,93.97,94.55,94.4
361,92.9,93.66,93.59
362,93.0,93.05,92.04
363,92.91,94.66,93.4
364,95.94,96.29,96.1
365,96.25,96.89,95.55
366,94.94,96.35,95.91
367,96.0,96.57,95.1
368,96.62,96.65,95.33
369,96.45,97.75,97.55
370,97.82,98.41,97.14
371,97.32,98.48,97.46
372,98.69,99.12,97.34
373,98.53,99.35,98.83
374,98.5,99.99,99.65
375,99.02,99.56,98.94
376,99.25,99.87,99.03
377,97.99,101.89,98.63
378,97.79,98.27,97.92
379,97.6,97.84,97.72
380,99.02,99.54,98.46
381,99.6,100.4,99.86
382,99.44,100.47,100.35
383,99.68,100.73,100.41
384,98.67,99.74,99.62
385,97.22,98.09,97.9
386,95.87,97.19,96.43
387,94.64,95.43,95.22
388,94.64,94.64,94.2
389,94.16,95.21,94.56
390,94.55,94.7,93.49
391,92.39,94.39,93.88
392,90.0,91.67,90.52
393,92.72,92.78,90.34
394,93.48,93.57,92.51
395,93.33,93.57,93.42
396,93.0,93.77,92.79
397,93.37,93.45,92.72
398,94.0,94.07,93.24
399,95.2,95.9,94.19
400,94.2,95.74,95.18
401,93.96,94.08,93.64
402,93.99,94.72,93.74
403,97.61,97.88,94.83
404,96.0,98.71,97.82
405,103.91,105.3,104.35
406,105.0,105.65,105.08
407,105.01,106.48,105.68
408,106.93,106.93,105.97
409,106.64,108.09,107.13
410,107.88,108.0,106.91
411,108.89,108.95,107.48
412,112.11,112.3,109.85
413,111.62,112.39,112.1
414,110.8,112.34,112.04
415,109.34,110.5,110.44
416,108.97,110.61,109.02
417,108.91,109.77,108.66
418,109.95,110.42,108.54
419,110.23,110.98,110.96
420,109.51,110.73,109.81
